iteration,num_templates,Amazon,Tesla,Microsoft,Meta,Nvidia,Apple,Google
32,32,0.9908623252927447,0.939272268838235,0.9828266959101181,1.0362477775049377,0.859218937498512,1.073901546404148,1.1433687521604652
33,33,0.9913847449930919,0.9410811514806923,0.9743341760324826,1.0534698989926292,0.8477179777319469,1.0719149383039004,1.1491822489379846
34,34,0.9833261814625053,0.9432613818521813,0.9740666813707706,1.0788760145417493,0.8445829537559602,1.0611556161101703,1.1446922121799687
35,35,0.9837908817845564,0.9443312209970839,0.9757892328713909,1.076451747354079,0.8487913492614663,1.0589829707361431,1.1400721818629154
36,36,0.9842269279030713,0.9458655055115236,0.9764605952734603,1.0742337023524449,0.8526976435455069,1.0572672704157247,1.1359050305778724
37,37,0.9846653614768182,0.9472909998377483,0.9770802673342512,1.0721439943773576,0.8564119949152927,1.055675901802358,1.131960361538566
38,38,0.9925224843442826,0.9558472474872991,0.9776940243322293,1.0783354026659253,0.8341961122367816,1.0622069602171025,1.1283323072534308
39,39,0.992150177888497,0.9569889001151785,0.9786246822342194,1.07600153069455,0.8382397047382748,1.0608483645986162,1.1247735405475772
40,40,0.9932026866635472,0.95772996563419,0.9799602556413163,1.073406952497765,0.8415545160450658,1.0591060986249243,1.1213067808559785
41,41,0.99307843099653,0.9590068750561058,0.9793068627411846,1.0723800736370084,0.8454229171694515,1.057488923612845,1.1183489982723114
42,42,0.9932416774425111,0.9599635904036713,0.9797897143337093,1.0705789347974486,0.8488451933512207,1.056087022285326,1.115348363905021
43,43,0.9934440314940006,0.960857290515642,0.9802823238351956,1.0687899980533366,0.8520912708140733,1.0547450987426308,1.112552517056904
44,44,0.9935546667191576,0.961747559944279,0.9807191475798244,1.0672677489812026,0.8552296348585835,1.0534443648777458,1.1097745295002235
45,45,0.993688243984226,0.9626001422263748,0.9811210315852888,1.0656983100048856,0.8582171468873472,1.0522255595276302,1.107238121268482
46,46,0.9938404504888895,0.969413689009442,0.9815340008443943,1.0642533869883068,0.8450663268786686,1.0576595616064135,1.1116986972347271
47,47,0.9940814661624566,0.9711053386268795,0.981031376106487,1.061680442029952,0.8486905330779917,1.056243774162756,1.1094850309543343
48,48,0.9940885370816942,0.9706557002833579,0.9823084732873922,1.0614860868640614,0.85105364290215,1.0551733220310213,1.1067939866830108
49,49,0.9942036081582842,0.9709543814569375,0.9826145055769336,1.0603650579559114,0.8539056533109668,1.0543910512889176,1.104270982046807
50,50,0.9943270582484057,0.9773940265935217,0.9830024137071947,1.0528937103816007,0.8566055992297963,1.0528845450488666,1.102301215596645
